REF_DATE,GEO,Gender,Sociodemographic characteristics,Indicators,VALUE
Apr-22,Canada (excluding territories),Women,Non-Indigenous identity,Somewhat weak or very weak sense of belonging to Canada,18.3
Apr-22,Canada (excluding territories),Women,Non-Indigenous identity,No opinion on sense of belonging to Canada,9.4
Apr-22,Canada (excluding territories),Women,"Total, persons with and without a disability, difficulty or long-term condition",Very strong or somewhat strong sense of belonging to Canada,72.1
Apr-22,Canada (excluding territories),Women,"Total, persons with and without a disability, difficulty or long-term condition",Somewhat weak or very weak sense of belonging to Canada,18.5
Apr-22,Canada (excluding territories),Women,"Total, persons with and without a disability, difficulty or long-term condition",No opinion on sense of belonging to Canada,9.4
Apr-22,Canada (excluding territories),Women,"Persons with a disability, difficulty or long-term condition",Very strong or somewhat strong sense of belonging to Canada,69.5
Apr-22,Canada (excluding territories),Women,"Persons with a disability, difficulty or long-term condition",Somewhat weak or very weak sense of belonging to Canada,19.6
Apr-22,Canada (excluding territories),Women,"Persons with a disability, difficulty or long-term condition",No opinion on sense of belonging to Canada,10.9
Apr-22,Canada (excluding territories),Women,"Persons without a disability, difficulty or long-term condition",Very strong or somewhat strong sense of belonging to Canada,74.3
Apr-22,Canada (excluding territories),Women,"Persons without a disability, difficulty or long-term condition",Somewhat weak or very weak sense of belonging to Canada,17.5
Apr-22,Canada (excluding territories),Women,"Persons without a disability, difficulty or long-term condition",No opinion on sense of belonging to Canada,8.2
Apr-22,Canada (excluding territories),Women,"Total, LGBTQ2+ and non-LGBTQ2+ people",Very strong or somewhat strong sense of belonging to Canada,72.1
Apr-22,Canada (excluding territories),Women,"Total, LGBTQ2+ and non-LGBTQ2+ people",Somewhat weak or very weak sense of belonging to Canada,18.5
